cd_a,ent,con,upm,v_sel,n_hog,h_mud,per,d_sem,n_pro_viv,n_ren,nom,sex,eda,r_pre,fecha_e,hora_ini_e,hora_ter_e,r_def,fecha_s,hora_ini_s,hora_ter_s,obs_caratu,p1,p11,p12_1,p12_2,p12_3,p12_4,p12_5,p12_6,p12_7,p12_8,p12_9,p12_99,p12_des,p13,p14,p14_des,p15,p16,p16_des,p17,p18,p19_1,p19_1_des,p19_2,p19_2_des,p19_9,p20,p21,p22,p23_des,obs,fac,clase2,loc,mun,est,est_d,ageb,t_loc,n_ent,c_res,par_c,nac_dia,nac_mes,nac_anio,l_nac_c,cs_p12,cs_p13_1,cs_p13_2,cs_p14_c,cs_p15,cs_p16,cs_p17,n_hij,e_con,cs_ad_mot,cs_p20_des,cs_ad_des,cs_nr_mot,cs_p22_des,cs_nr_ori,ur,zona,salario,clase1,clase3,pos_ocu,seg_soc,rama,c_ocu11c,ing7c,dur9c,emple7c,medica5c,buscar5c,rama_est1,rama_est2,dur_est,ambito1,ambito2,tue1,tue2,tue3,busqueda,d_ant_lab,d_cexp_est,dur_des,sub_o,s_clasifi,remune2c,pre_asa,tip_con,dispo,nodispo,c_inac5c,pnea_est,niv_ins,eda5c,eda7c,eda12c,eda19c,hij5c,domestico,anios_esc,hrsocup,ingocup,ing_x_hrs,tpg_p8a,tcco,cp_anoc,imssissste,ma48me1sm,p14apoyos,scian,t_tra,emp_ppal,tue_ppal,trans_ppal,mh_fil2,mh_col,sec_ins,cuenta,sex_fem,jefe_hog
1,15,1394,10403,3,1,0,212,212,26,2,-,2,49,0,200612,1730,1805,0,200612,1730,1805,PREG 3 Y 4 NO RECORDO MESES SE LE PIDIO QUE APROXIMARA O RELACIONARA PERO NO PUDO RECORDAR,3,99,,2,,,,,,,,,,1,6,,2,,,2,2,,,,,,,,,ES UN AHORRO PARA JUBILARSE,PREG 3 Y 4 NO RECORDO MESES SE LE PIDIO QUE APROXIMARA O RELACIONARA PERO NO PUDO RECORDAR,21022,1,1,33,23,15,0,1,3,1,201,7,8,1962,21,1,3,3,,,,2,2,1,,,,,,,1,1,1870,1,1,1,2,4,8,1,2,1,1,4,3,10,2,2,8,3,6,0,2,0,0,0,0,0,1,2,5,0,0,0,0,3,3,4,7,12,2,3,9,12,1806,35,0,0,0,4,0,0,19,2,1,2,0,2,1,9,0,1,0
1,15,1394,10403,5,1,0,212,212,49,2,-,2,39,0,210612,1910,1922,0,210612,1910,1922,,1,99,,2,,,,,,,,,,1,7,,1,,,1,1,1,BANCOMER,,,,1,2,3,UN REQUISITO QUE SE DEBE CUMPLIR EN EL TRABAJO PARA SABER CUANTO SE TIENDE DE DINERO,,19074,1,1,33,23,15,0,1,3,1,201,8,12,1972,15,1,3,2,,,,2,2,1,,,,,,,1,1,1870,1,1,1,1,2,5,3,6,6,3,4,2,3,4,2,5,1,1,0,2,0,0,0,0,0,1,1,3,0,0,0,0,2,2,3,5,10,2,3,8,48,3870,18.75,0,0,0,1,0,0,5,1,2,2,0,3,2,2,0,1,0
1,15,1406,19150,5,1,0,212,312,240,1,-,1,37,0,200612,1735,1810,0,200612,1735,1810,DICE RG. 1 QUE ESTA JOVEN POR TAL MOTIVO NO HA PENSADO COMO SE VA A SOSTENER EN SU VEJEZ,1,70,,,,,,,,,,99,,2,,,,1,,2,1,1,BANCO COPPEL,,,,2,2,9,ES AHORRO PARA EL RETIRO,DICE RG. 1 QUE ESTA JOVEN POR TAL MOTIVO NO HA PENSADO COMO SE VA A SOSTENER EN SU VEJEZ,40758,1,1,31,22,14,0,1,2,1,101,25,7,1974,11,1,4,3,,,,2,,5,,,,,,,1,1,1870,1,1,1,2,4,8,3,6,3,1,4,3,10,4,2,4,1,2,0,2,0,0,0,0,0,1,2,5,0,0,0,0,4,2,3,5,10,0,3,12,48,3870,18.75,0,0,0,4,0,0,19,1,1,2,0,3,1,4,0,0,1
1,15,1407,4142,2,1,0,212,312,83,3,-,2,24,0,180612,1331,1410,0,180612,1331,1410,,3,99,,,,,,,,,9,,,1,1,,2,,,2,1,1,AFORE 21,,,,1,1,3,ES UN AHORRO PARA EL RETIRO,,24010,4,1,33,22,14,0,1,2,1,301,4,3,1988,15,1,4,3,,,,2,1,2,,,,,,,1,1,1870,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,4,1,2,2,7,2,8,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1,15,1407,4142,5,1,0,212,312,212,2,-,2,23,0,180612,1155,1229,0,180612,1155,1229,,1,99,,,,,,,,,,99,,2,,,,1,,2,2,,,,,,,,,ES EL SERVICIO QUE HA REALIZADO COMO EMPLEADO,,24010,4,1,33,22,14,0,1,2,1,301,13,10,1988,15,1,4,3,,,,2,0,6,,,,,,,1,1,1870,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,4,1,2,2,7,1,8,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1,15,1408,25091,3,1,0,212,312,143,1,-,1,39,0,220612,1030,1105,0,220612,1030,1105,DICE NO SABE CUANDO DEJARA DE TRABAJAR,1,99,,2,,,,,,,,,,1,1,,1,,,2,2,,,,,,,,,ES UN AHORRO PARA CUANDO LAS PERSONAS YA NO TRABAJAN,DICE NO SABE CUANDO DEJARA DE TRABAJAR,36975,1,1,58,23,15,0,1,2,1,101,7,1,1973,15,1,7,1,3741,3,2,2,,5,,,,,,,1,1,1870,1,1,3,2,2,5,3,6,1,1,4,2,3,4,2,2,3,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,5,10,0,3,13,42,4300,23.809521,0,0,1,4,0,0,5,1,1,1,0,1,7,8,0,0,1
1,15,1408,25091,5,1,0,212,312,213,1,-,1,40,0,300612,1200,1235,0,300612,1200,1235,DICE QUE NO SABE CUANDO VA A DEJAR DE TRABAJAR PORQUE EL DINERO QUE GANA NO LE ALCANZA PARA AHORRA RG. 6 NO RECUERDA EN QUE MES EMPEZO A TRABAJAR EN SU PRIMER TRABAJO,1,99,,,,,,,,,9,,,2,,,,1,,2,2,,,,,,,,,ES UN AHORRO PARA CUANDO LA PERSONA SE JUBILE,DICE QUE NO SABE CUANDO VA A DEJAR DE TRABAJAR PORQUE EL DINERO QUE GANA NO LE ALCANZA PARA AHORRA RG. 6 NO RECUERDA EN QUE MES EMPEZO A TRABAJAR EN SU PRIMER TRABAJO,36975,1,1,58,23,15,0,1,2,1,101,15,7,1971,9,1,6,3,2052,2,1,2,,5,,,,,,,1,1,1870,1,1,1,2,2,5,4,6,3,4,4,2,3,4,2,3,1,2,0,2,0,0,0,0,0,1,1,5,0,0,0,0,3,2,4,6,11,0,3,12,40,6020,35,0,0,0,4,0,0,5,1,1,2,0,3,1,4,0,0,1
1,15,1410,33374,1,1,0,212,312,14,1,-,1,43,3,210612,1700,1700,0,280612,1510,1530,,4,88,,,,,5,,,,,,,1,6,,2,,,2,1,1,BANCOMER,,,,1,1,2,UN AHORRO PARA EL RETIRO,,35536,1,1,122,22,14,0,1,2,1,101,15,12,1968,13,1,2,6,,,,2,,1,,,,,,,1,1,1870,1,1,1,1,2,1,3,4,6,3,4,2,3,3,2,6,1,1,0,2,0,0,0,0,0,1,1,2,0,0,0,0,2,2,4,6,11,0,1,6,25,0,0,0,0,0,1,0,0,5,2,2,2,0,3,2,2,0,0,1
1,15,1434,5166,3,1,0,212,512,220,3,-,1,33,0,180612,1704,1720,0,180612,1704,1720,TRABAJOS 01 Y 02 ACTUALMENTE LOS REALIZA SIMULTANEAMENTE P10 OPC 8 SE DEDICO A DESCANSAR P7 TRABAJA 1 OPC 7 Y ES UNA ASOCIACION,3,50,1,,,,,,,,,,,2,,,,1,,2,9,,,,,,,,,NO LO SE,TRABAJOS 01 Y 02 ACTUALMENTE LOS REALIZA SIMULTANEAMENTE P10 OPC 8 SE DEDICO A DESCANSAR P7 TRABAJA 1 OPC 7 Y ES UNA ASOCIACION,39231,1,1,13,22,14,0,1,5,1,603,30,3,1979,15,1,3,3,,,,2,,6,,,,,,,1,1,1870,1,1,1,1,4,4,4,6,6,3,4,3,10,4,2,5,2,3,0,2,0,0,0,0,0,1,1,3,0,0,0,0,3,2,3,4,9,0,1,9,45,8250,42.635658,0,0,0,1,0,0,19,2,2,2,0,3,2,6,0,0,0
1,15,1438,31517,1,1,0,212,512,14,3,-,1,23,0,210612,2130,2200,0,210612,2130,2200,,5,99,,2,,,,,,,,,,2,,,,1,,2,2,,,,,,,,,DE OTORGAMIENTO DE VIVIENDA,,33120,1,1,39,32,18,0,1,5,1,301,5,9,1988,9,1,3,3,,,,2,,6,,,,,,,1,1,1870,1,1,1,2,4,8,3,8,3,1,4,3,6,5,2,4,3,5,0,2,0,0,0,0,0,1,2,5,0,0,0,0,3,1,2,2,7,0,3,9,60,5160,20,0,0,0,4,0,0,18,1,1,1,0,1,1,8,0,0,0
1,15,1439,20366,3,1,0,212,512,77,3,-,1,42,0,230612,1113,1125,0,230612,1113,1125,DIO LA INFORMACION TLEFONICAMENTE MUY MOLESTO POR LAS PREGUNTAS Y DIJO NO DAR MAS DATOS,1,60,1,,,,,,,,,,,2,,,,1,,2,1,1,PENSIONISSSTE,,,,1,1,1,UN FONDO PARA PENSIONARSE,DIO LA INFORMACION TLEFONICAMENTE MUY MOLESTO POR LAS PREGUNTAS Y DIJO NO DAR MAS DATOS,34275,1,1,58,23,15,0,1,5,1,301,6,3,1970,9,1,7,4,4031,3,1,1,,6,,,,,,,1,1,1870,1,1,1,1,4,2,4,5,5,3,4,3,9,4,2,4,2,4,1,2,0,0,0,0,0,1,1,3,0,0,0,0,4,2,4,6,11,0,3,16,35,8600,57.14286,0,0,0,2,0,0,15,1,2,2,0,3,2,7,0,0,0
1,15,1439,20366,5,1,0,212,512,132,2,-,2,35,0,190612,1030,1050,0,190612,1030,1050,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35801,4,1,58,23,15,0,1,5,1,201,7,8,1976,15,1,3,3,,,,2,3,5,,,,,,,1,1,1870,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,3,2,3,5,10,3,8,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1,15,1440,11219,3,1,0,212,512,60,1,-,1,30,0,240612,1115,1125,0,240612,1115,1125,PREGUNTA 18 NO SABE SI LO AFILIARON A ALGUNA AFORE POR PARTE D ESU TRABAJO,2,65,,,,,,,,,,99,,2,,,,1,,2,9,,,,,,,,,FONDO DE RETIRO,PREGUNTA 18 NO SABE SI LO AFILIARON A ALGUNA AFORE POR PARTE D ESU TRABAJO,32217,1,1,104,24,16,0,1,5,1,101,20,10,1981,9,1,4,3,,,,2,,5,,,,,,,1,1,1870,1,1,1,1,3,7,3,8,6,2,4,3,5,5,2,5,1,1,0,2,0,0,0,0,0,1,3,2,0,0,0,0,4,2,3,4,9,0,3,12,60,3943,15.28295,0,0,0,1,0,0,6,1,2,2,0,3,2,2,0,0,1
1,15,1452,4272,1,1,0,212,113,370,4,-,2,18,16,280612,1900,1900,0,60712,1800,1820,,1,50,1,,,,,,,,,,,2,,,,5,POR QUE NO TRABAJA,2,2,,,,,,,,,PRESTAMO DE VIVIENDA,,49639,4,1,33,32,18,0,1,4,1,609,5,10,1993,15,1,4,3,,,,2,0,6,,,,,,,1,1,1870,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,4,1,1,1,6,1,8,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1,15,1452,4272,2,1,0,212,113,444,2,-,2,50,0,280612,904,925,0,280612,904,925,,1,53,1,,,,,,,,,,,1,1,,1,,,2,1,1,AFOREMEX,,,,1,2,1,FONDO DE RETIRO PARA CUANDO SE JUBILE SEA UN COMPLEMENTO A LA PENSION,,60575,1,1,33,32,18,0,1,4,1,201,7,8,1961,9,1,7,4,4031,3,1,2,1,5,,,,,,,1,1,1870,1,1,1,1,4,4,5,6,6,3,4,3,11,4,2,7,2,4,1,2,0,0,0,0,0,1,1,3,0,0,0,0,4,3,5,8,13,2,3,16,45,12000,62.015499,0,0,0,2,0,0,20,1,2,2,0,3,2,5,0,1,0
1,15,1453,16001,2,1,0,212,113,42,4,-,1,20,0,290612,1940,1954,0,290612,1940,1954,,2,99,,,,,,,,,9,,,2,,,,1,,2,2,,,,,,,,,ES PARA LA VIVIENDA,,58216,1,1,57,22,14,0,1,4,1,301,23,7,1991,9,1,4,3,,,,2,,6,,,,,,,1,1,1870,1,1,1,2,4,5,2,8,2,4,4,3,10,5,2,3,1,2,0,2,0,0,0,0,0,1,1,5,0,0,0,0,4,1,2,2,7,0,1,12,66,3440,12.12121,0,3,0,4,0,0,19,1,1,2,0,3,1,4,0,0,0
1,15,1453,16001,3,1,0,212,113,81,3,-,1,19,0,270612,2040,2052,0,270612,2040,2052,,3,99,,2,,,,,,,,,,1,7,,1,,,2,2,,,,,,,,,ES DONDE DAN LAS CASAS APOYAN PARA COMPARLAS,,58216,1,1,57,22,14,0,1,4,1,301,29,6,1992,15,1,3,3,,,,2,,6,,,,,,,1,1,1870,1,1,1,2,1,5,7,6,3,1,4,2,4,4,2,2,3,5,0,2,0,0,0,0,0,1,2,5,0,0,0,0,3,1,1,1,6,0,1,9,48,0,0,0,0,0,4,0,0,4,1,1,1,0,1,1,8,0,0,0
1,15,1456,33325,2,1,0,212,113,31,1,-,1,28,0,70712,1900,1930,0,70712,1900,1930,PG. 11 DECE NO SABE NI HA PENSADO A QUE EDAD SE RETIRARA DEL TRABAJO. PG. 3 NO RECUERDA EL DIA.,1,99,,,,,5,,,,,,,2,,,,1,,2,2,,,,,,,,,ES UN AHORRO PARA CUANDO SE RETIRE DE TRABAJAR,PG. 11 DECE NO SABE NI HA PENSADO A QUE EDAD SE RETIRARA DEL TRABAJO. PG. 3 NO RECUERDA EL DIA.,29828,1,3,39,41,20,0,3,4,1,101,15,10,1983,9,1,3,3,,,,2,,5,,,,,,,1,1,1870,1,1,3,2,1,5,3,6,1,1,4,2,4,4,2,2,3,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,3,8,0,3,9,46,4300,21.73913,0,0,1,4,0,0,4,1,1,1,0,1,7,8,0,0,1
1,15,1464,5510,1,1,0,212,213,9,2,-,2,24,0,260612,1000,1007,0,260612,1000,1007,EDAD ACTUAL 25 AÑOS,97,99,,,,,,,,,,99,,2,,,,1,,2,2,,,,,,,,,NO LO SABE,EDAD ACTUAL 25 AÑOS,32873,4,1,13,22,14,0,1,3,1,201,15,6,1987,15,1,2,6,,,,2,2,1,,,,,,,1,1,1870,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,3,2,2,2,3,8,2,8,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1,15,1464,5510,3,1,0,212,213,87,4,-,1,18,0,260612,700,725,0,260612,700,725,,1,99,,,,,,,,,9,,,1,7,,1,,,2,1,1,BANORTE,,,,1,2,1,AHORRO PARA EL RETIRO,,38945,1,1,13,22,14,0,1,3,1,609,19,8,1993,9,1,6,3,1852,2,1,2,,6,,,,,,,1,1,1870,1,1,1,1,4,5,2,8,5,3,4,3,6,5,2,4,1,1,0,2,0,0,0,0,0,1,1,3,0,0,0,0,3,1,1,1,6,0,3,12,60,2000,7.7519398,0,3,0,1,0,0,18,1,2,2,0,3,2,2,0,0,0
1,15,1464,5510,4,1,0,212,213,117,1,-,2,50,0,250612,1827,1835,0,250612,1827,1835,,1,65,,,,,,,,,9,,,1,1,,1,,,2,1,,,,,9,2,2,3,AHORRO PARA EL RETIRO,,37898,1,1,13,22,14,0,1,3,1,101,13,2,1962,15,1,2,6,,,,2,4,1,,,,,,,1,1,1870,1,1,3,2,3,6,2,8,2,1,4,3,5,5,2,3,3,5,0,2,0,0,0,1,2,0,0,0,0,0,0,0,2,3,5,8,13,3,3,6,77,2580,7.7922101,0,3,1,4,0,0,7,2,1,1,0,1,7,8,0,1,1
1,15,1468,28269,2,1,0,212,213,94,3,-,1,24,0,280612,900,925,0,280612,900,925,,2,99,,2,,,,,,,,,,2,,,,1,,2,2,,,,,,,,,CUENTA DE AHORRO PARA EL RETIRO,,25406,4,1,37,23,15,0,3,3,1,301,27,2,1988,9,1,4,2,,,,1,,6,,,,,,,1,1,1870,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,3,1,2,2,7,0,7,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,15,1469,19258,2,1,0,212,213,98,2,-,2,50,0,270612,700,723,0,270612,700,723,,1,99,,,,,,6,,,,,,2,,,,1,,2,2,,,,,,,,,"ES UNA BANCA,CREDITO PARA CASAS Y RETIROS",,36020,1,1,58,23,15,0,1,3,1,201,17,9,1961,9,1,3,3,,,,2,6,1,,,,,,,1,1,1870,1,1,3,2,2,5,3,2,1,1,4,2,3,2,2,2,3,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,8,13,4,3,9,7,4300,142.85715,0,0,1,4,0,0,5,1,1,1,0,1,7,8,0,1,0
1,15,1471,33802,4,1,0,212,213,127,1,-,1,38,0,270612,930,1000,0,270612,930,1000,,3,88,,,,,,,,,,99,,1,7,,1,,,2,2,,,,,,,,,NO SABE,,29982,1,1,122,22,14,0,1,3,1,101,20,2,1974,6,1,3,3,,,,2,,6,,,,,,,1,1,1870,1,1,3,2,3,6,1,2,1,1,4,3,5,2,2,2,3,5,0,2,0,0,0,1,2,0,0,0,0,0,0,0,3,2,3,5,10,0,3,9,12,860,16.66667,0,0,1,4,0,0,7,1,1,1,0,1,7,8,0,0,1
1,15,1472,19741,5,1,0,212,213,245,2,-,2,53,0,250612,1717,1734,0,250612,1717,1734,,1,88,,,,,,,,,9,,,2,,,,1,,2,2,,,,,,,,,AHORRO PARA LA VEJEZ,,45141,1,71,37,21,13,0,1,3,1,201,1,6,1959,20,1,2,3,,,,2,2,5,,,,,,,1,1,1870,1,1,1,2,4,8,2,4,1,1,4,3,10,3,2,8,3,6,0,2,0,0,0,0,0,1,2,5,0,0,0,0,1,3,5,8,13,2,3,3,28,2580,21.42857,0,0,0,4,0,0,19,1,1,2,0,2,1,9,0,1,0
1,15,1483,35165,3,1,0,212,313,96,4,-,1,18,0,270612,1700,1720,0,270612,1700,1720,,3,99,,,,,,,,,,99,,2,,,,1,,2,2,,,,,,,,,NO LO SABE,,32830,1,1,25,22,14,0,1,2,1,301,11,8,1993,15,1,4,3,,,,1,,6,,,,,,,1,1,1870,1,1,1,2,1,5,1,3,2,1,2,2,4,3,2,2,3,5,0,2,0,0,0,1,5,1,2,5,0,0,0,0,4,1,1,1,6,0,2,12,24,1548,15,1,0,0,4,0,0,4,1,1,1,0,1,1,8,0,0,0
1,15,1485,12881,2,1,0,212,313,55,2,-,1,31,16,290612,1800,1800,0,40712,1900,1910,,3,60,,2,,,,,,,,,,1,1,,1,,,2,2,,,,,,,,,INVERSION AHORRO NO SE NO ESTOY MUY METIDO EN ESAS COSAS,,25666,2,1,57,43,22,0,1,2,1,301,29,5,1981,9,1,4,3,,,,2,,1,,,,,,,1,1,1870,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,4,2,3,4,9,0,3,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,15,1515,23319,5,1,0,212,513,201,1,-,1,31,0,260612,1820,1900,0,260612,1820,1900,,1,88,,,,,,,,,9,,,1,7,,2,,,2,1,1,BANCOMER,,,,2,2,3,UN GUARDADO PARA EL RETIRO,,34585,1,1,31,23,15,0,1,5,1,101,4,12,1980,15,1,3,3,,,,2,,5,,,,,,,1,1,1870,1,1,1,2,4,7,1,8,2,1,4,3,7,5,2,2,3,5,0,2,0,0,0,0,0,2,2,5,0,0,0,0,3,2,3,4,9,0,3,9,84,1290,3.57143,0,2,0,4,1,0,8,1,1,1,0,1,3,8,0,0,1
1,15,1516,8305,3,1,0,212,513,46,5,-,1,44,17,280612,1800,1800,0,70712,1400,1422,EL SEÑOR ES MUY RENUENTE QUE NO TRABAJO TODO ESE TIEMPO PORQUE ESTUVO PRESO EN EL BORDO DE XOCHIAXA,1,99,,,,,,,,,9,,,2,,,,1,,2,2,,,,,,,,,NO SABE,EL SEÑOR ES MUY RENUENTE QUE NO TRABAJO TODO ESE TIEMPO PORQUE ESTUVO PRESO EN EL BORDO DE XOCHIAXA,38707,1,1,33,32,18,0,1,5,1,201,8,7,1967,13,1,4,3,,,,2,,5,,,,,,,1,1,1870,1,1,2,2,4,8,5,8,2,1,4,3,6,5,2,3,3,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,6,11,0,3,12,90,12900,33.333328,0,0,0,4,0,0,18,1,1,1,0,1,5,8,0,0,0
1,15,1516,8305,4,1,0,212,513,63,4,-,2,25,0,260612,1900,1905,0,260612,1900,1905,NUNCA HA TRABAJADO,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NUNCA HA TRABAJADO,19151,2,1,33,32,18,0,1,5,1,301,25,12,1986,9,1,7,4,4033,3,1,2,0,6,,,,,,,1,1,1870,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,4,2,2,3,8,1,3,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1,15,1519,671,4,1,0,212,513,339,3,-,1,26,16,290612,2010,2010,0,40712,1830,1900,,2,88,,2,,,,,,,,,,1,7,,1,,,2,1,1,BANAMEX,,,,1,1,1,UN AHORRO PARA EL RETIRO,,24999,2,1,108,21,13,0,2,5,1,301,21,3,1986,13,1,3,3,,,,2,,6,,,,,,,1,1,1870,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,3,2,2,3,8,0,3,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,14,416,4346,1,1,0,212,110,28,2,-,1,32,0,90612,1012,1028,0,90612,1012,1028,,2,65,,2,,,,,,,,,,1,1,,1,,,2,1,1,AFORE 21,,,,1,1,3,INSTITUCION QUE GUARDA DINERO Y LO INVIERTE Y TE DA RENDIMIENTOS,,8499,1,1,39,32,27,0,1,4,1,301,3,11,1979,14,1,9,2,5410,,1,2,,6,,,,,,,1,2,1817,1,1,1,2,4,2,7,2,6,1,2,3,9,2,2,6,2,4,2,2,0,0,0,1,5,1,2,5,0,0,0,0,4,2,3,4,9,0,3,20,12,0,0,1,0,0,4,0,0,15,1,1,2,0,3,1,7,0,0,0
2,14,416,4346,2,1,0,212,110,52,1,-,2,47,0,60612,1838,1851,0,60612,1838,1851,,3,88,,,,,,,,8,,,NO TIENE ORGANIZADO NADA PARA SU RETIRO,1,7,,2,,,2,2,,,,,,,,,AYUDA DE TRABAJADORES PARA EL RETIRO,,8021,1,1,39,32,27,0,1,4,1,101,99,10,1964,14,1,4,3,,,,2,3,3,,,,,,,1,2,1817,1,1,3,2,4,1,3,4,1,1,4,3,9,3,2,2,3,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,7,12,3,3,12,28,4300,35.714291,0,0,0,4,0,0,16,1,1,1,0,1,7,8,0,1,1
2,14,417,4099,1,1,0,212,110,7,3,-,1,26,0,90612,2202,2238,0,90612,2202,2238,,4,50,1,,,,,,,,,,,1,1,,2,,,2,1,1,GNP,,,,1,1,1,ES UNA CUENTA DONDE SE AHORRA DINERO Y QUE CUANDO SALGA DE TABAJAR SE LO VAN A DAR,,11697,1,1,39,33,28,0,1,4,1,301,23,9,1985,14,1,7,1,3921,3,2,1,,6,,,,,,,1,2,1817,1,1,1,1,4,4,3,6,5,3,4,3,8,4,2,4,1,1,0,2,0,0,0,0,0,1,1,3,0,0,0,0,4,2,2,3,8,0,2,13,40,5000,29.069771,0,0,0,1,0,0,10,1,2,2,0,3,2,1,0,0,0
2,14,417,4099,4,1,0,212,110,90,3,-,2,24,0,60612,2158,2222,0,60612,2158,2222,MENCIONA QUE GANA MAS PERO QUE TIENE UN ACUERDO DESDE QUE LA CONTRATARON PARA ENTREGAR UNA PARTE (?) Y SOLO RECIBE ESA CANTIDAD,1,50,,2,,,,,,,,,,1,1,,2,,,2,1,1,GNP,,,,1,1,3,UN FONDO PARA EL RETIRO,MENCIONA QUE GANA MAS PERO QUE TIENE UN ACUERDO DESDE QUE LA CONTRATARON PARA ENTREGAR UNA PARTE (?) Y SOLO RECIBE ESA CANTIDAD,11697,1,1,39,33,28,0,1,4,1,301,28,10,1987,14,1,7,4,3941,3,1,1,0,6,,,,,,,1,2,1817,1,1,1,1,4,4,2,6,6,3,4,3,11,4,2,7,2,4,1,2,0,0,0,0,0,1,1,3,0,0,0,0,4,1,2,2,7,1,2,16,40,0,0,0,0,0,1,0,0,20,1,2,2,0,3,2,5,0,1,0
2,14,418,6295,4,1,0,212,110,124,1,-,1,34,0,100612,1121,1140,0,100612,1121,1140,DICE NO SABER NI COMO SALDRA LA QUINCENA MENOS EN SU VEJEZ,1,88,,,,,,,,,,99,,1,7,,2,,,2,2,,,,,,,,,AHORRO PARA LA VEJEZ,DICE NO SABER NI COMO SALDRA LA QUINCENA MENOS EN SU VEJEZ,8453,1,1,39,22,25,0,1,4,1,101,27,2,1978,32,1,2,6,,,,2,,5,,,,,,,1,2,1817,1,1,3,2,4,8,3,7,1,1,4,3,10,5,2,2,3,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,4,9,0,3,6,51,5160,23.529409,0,0,1,4,0,0,19,1,1,1,0,1,7,8,0,0,1
2,14,419,2691,1,1,0,212,110,25,2,-,2,33,0,60612,1257,1321,0,60612,1257,1321,,1,55,,2,,,,,,,,,,2,,,,5,NO TIENE INGRESOS,2,2,,,,,,,,,ES EL AHORRO PARA CUANDO UNO DEJA DE TRABAJAR,,9573,1,1,39,32,27,0,1,4,1,201,26,11,1978,15,1,2,6,,,,2,3,5,,,,,,,1,2,1817,1,1,4,2,4,5,6,7,2,1,4,3,6,5,2,2,3,5,0,2,0,0,0,1,2,0,0,0,0,0,0,0,2,2,3,4,9,3,3,6,49,0,0,0,0,0,4,0,0,18,1,1,1,0,1,9,8,0,1,0
2,14,419,2691,2,1,0,212,110,55,1,-,1,48,0,60612,2016,2041,0,60612,2016,2041,,3,65,1,2,,4,,,,,,,,1,4,,2,,,2,1,1,AFORE PRINCIPAL,,,,1,1,1,ES EL FONDO DE AHORRO PARA EL RETIRO DE LA JUBILACION,,9036,1,1,39,32,27,0,1,4,1,101,6,9,1969,14,1,7,5,4131,3,1,2,,5,,,,,,,1,2,1817,1,1,1,1,4,4,5,6,4,3,2,3,8,4,2,4,1,1,0,2,0,0,0,1,5,1,1,3,0,0,0,0,4,2,4,6,11,0,3,17,40,20000,116.27907,1,0,0,1,0,0,10,1,2,2,0,3,2,1,0,0,1
